NPI,Surgeon,Surgeon Specialty,Surgeon Case Volume,Practice Name,Address,Suite,City,State,Zip,Practice Name,Address,Suite,City,State,Zip,Practice Address 1,Practice Address 2,Practice City,Practice State,Practice Zip Code,Practice Phone Number,Practice Fax Number
1295178465,"MEGHPARA, MITCHELL B",SN ORTHOPEDIC,24,,,,,,,,,,,,,,,,,,,
1700011590,"ASH, LAUREN GAYLE",SN GENERAL SURGERY,23,,,,,,,,,,,,,,,,,,,
1073597688,"FLEEGER, DAVID CLARK",SN GENERAL SURGERY,23,,,,,,,,,,,,,,,,,,,
1487858056,"HYDE, BRANNON RAY",SN CARDIOTHORACIC,23,,,,,,,,,,,,,,,,,,,
1821075664,"LOOSE, ISAAC ARTHUR",SN OPHTHALMOLOGY,23,,,,,,,,,,,,,,,,,,,
1386631117,"NUNNELLY, PATRICK DALE",SN GYNECOLOGY,23,,,,,,,,,,,,,,,,,,,
1134476260,"CATLETT, GREGORY EVERETT JR.",SN ORTHOPEDIC,22,,,,,,,,,,,,,,,,,,,
1134445539,"DEWAN, BRENDAN P",SN CARDIOTHORACIC,22,,,,,,,,,,,,,,,,,,,
1811126105,"KELLY, SCOTT DOUGLAS",SN OPHTHALMOLOGY,22,,,,,,,,,,,,,,,,,,,
1366464683,"NAKRA , TANUJ MD",SN OPHTHALMOLOGY,22,,,,,,,,,,,,,,,,,,,
1801086129,"OXNER, CHRISTOPHER R",SN GENERAL SURGERY,22,,,,,,,,,,,,,,,,,,,
1114031929,"PATEL, MANISH V.",SN ORTHOPEDIC,22,,,,,,,,,,,,,,,,,,,
1003834680,"ROSE, JAMES",SN NEUROSURGERY,22,,,,,,,,,,,,,,,,,,,
1003900119,"TJELMELAND, KELLY EUGENE",SN PLASTIC,22,,,,,,,,,,,,,,,,,,,
1104912021,"ESKEW, JAMES R",SN OTOLARYNGOLOGY,21,,,,,,,,,,,,,,,,,,,
1790096543,"KOLLURI, SANGEETHA LAKSHMI",SN GENERAL SURGERY,21,,,,,,,,,,,,,,,,,,,
1477640357,"RATCLIFF, DANIEL JONATHAN",SN OTOLARYNGOLOGY,21,,,,,,,,,,,,,,,,,,,
1609085042,"TSAI, RITA",SN GYNECOLOGY,21,,,,,,,,,,,,,,,,,,,
1639332372,"KIM, GENE",SN OPHTHALMOLOGY,20,,,,,,,,,,,,,,,,,,,
1023454386,"MAKKOUK, FUAD",SN OPHTHALMOLOGY,20,,,,,,,,,,,,,,,,,,,
1598759300,"YIUM, VANESSA JONES",SN GYNECOLOGY,20,,,,,,,,,,,,,,,,,,,
1982657367,"NORTHWAY, ROBERT ORCUTT III",SN UROLOGY,19,,,,,,,,,,,,,,,,,,,
1659575439,"SMITH, TAYLOR ANDREW",SN GENERAL SURGERY,19,,,,,,,,,,,,,,,,,,,
1881089845,"ACKALL, FERAS YACOUB",SN OTOLARYNGOLOGY,18,,,,,,,,,,,,,,,,,,,
1538588819,"EHANIRE, TOSANWUMI",SN PLASTIC,18,,,,,,,,,,,,,,,,,,,
1851616767,"SHOSS, JEFFREY MICHAEL",SN UROLOGY,18,,,,,,,,,,,,,,,,,,,
1336163633,"STEWART, MARK",SN CARDIOVASCULAR,18,,,,,,,,,,,,,,,,,,,
1609848399,"LEVITAN, MARK",SN OPHTHALMOLOGY,17,,,,,,,,,,,,,,,,,,,
1245379551,"SHASHOUA, GEORGE LEOR",SN GYNECOLOGY,17,,,,,,,,,,,,,,,,,,,
1750354924,"APPLE, JEFFREY M",SN CARDIOVASCULAR,16,,,,,,,,,,,,,,,,,,,
1326019571,"BROWN, KIMBERLY M",SN GENERAL SURGERY,16,,,,,,,,,,,,,,,,,,,
1003822362,"O'FARRELL, KEVIN P",SN GENERAL SURGERY,16,,,,,,,,,,,,,,,,,,,
1396002622,"VILLARREAL, ARTURO DELEON",SN ORTHOPEDIC,16,,,,,,,,,,,,,,,,,,,
1194823096,"CONSTANTINIDES, MINAS SPIROS",SN OTOLARYNGOLOGY,15,,,,,,,,,,,,,,,,,,,
1578547188,"GRAVES, ERNEST DOYLE III",SN GENERAL SURGERY,15,,,,,,,,,,,,,,,,,,,
1386675213,"MARKUS, ROBERT MICHAEL JR.",SN GENERAL SURGERY,15,,,,,,,,,,,,,,,,,,,
1295705986,"VAGNER, GREGG A",SN ORTHOPEDIC,15,,,,,,,,,,,,,,,,,,,
1669465282,"CHING, PETER VINCENT",SN GENERAL SURGERY,14,,,,,,,,,,,,,,,,,,,
1194912469,"CONE, JEFFREY D JR.",SN PLASTIC,14,,,,,,,,,,,,,,,,,,,
1700129467,"CRAWFORD, MATTHEW DAVID",SN ORTHOPEDIC,14,,,,,,,,,,,,,,,,,,,
1386834836,"MACKEY, AIMEE M",SN GENERAL SURGERY,14,,,,,,,,,,,,,,,,,,,
1861696460,"WILLIAMS-BROWN, MARIAN YVETTE",SN GYNECOLOGY,14,,,,,,,,,,,,,,,,,,,
1851319545,"BAILEY, CHRISTOPHER WILLIAM",SN GENERAL SURGERY,13,,,,,,,,,,,,,,,,,,,
