NPI,Surgeon,Surgeon Specialty,Surgeon Case Volume,Practice Name,Address,Suite,City,State,Zip,Practice Name,Address,Suite,City,State,Zip,Practice Address 1,Practice Address 2,Practice City,Practice State,Practice Zip Code,Practice Phone Number,Practice Fax Number
1235309246,"SEBASTIAN, JEREMY S",SN OTOLARYNGOLOGY,164,,,,,,,,,,,,,,,,,,,
1942593272,"MOORE, DUSTIN GRAHAM",SN ORTHOPEDIC,159,,,,,,,,,,,,,,,,,,,
1053670794,"CROZIER, MATTHEW W",SN ORTHOPEDIC,158,,,,,,,,,,,,,,,,,,,
1841297843,"ONAN, OKAY ATILLA",SN ORTHOPEDIC,156,,,,,,,,,,,,,,,,,,,
1619207040,"BRIGHTWELL, RACHEL MICHELE",SN GYNECOLOGY,152,,,,,,,,,,,,,,,,,,,
1386651206,"CHURCH, PHILLIP",SN CARDIOTHORACIC,152,,,,,,,,,,,,,,,,,,,
1700875176,"JOHNSON, ANTHONY EUGENE",SN ORTHOPEDIC,152,,,,,,,,,,,,,,,,,,,
1235576356,"LONG, SAMUEL EVERETTE III",SN GENERAL SURGERY,151,,,,,,,,,,,,,,,,,,,
1760632947,"BAGHERI, ALI",SN ORTHOPEDIC,146,,,,,,,,,,,,,,,,,,,
1275947558,"BOERNER, RYAN",SN OTOLARYNGOLOGY,143,,,,,,,,,,,,,,,,,,,
1073561833,"GECK, MATTHEW J",SN ORTHOPEDIC,143,,,,,,,,,,,,,,,,,,,
1760773295,"SALINAS, GABRIEL JESUS JR.",SN GENERAL SURGERY,141,,,,,,,,,,,,,,,,,,,
1538328083,"MCARTHUR, BENJAMIN ALLEN",SN ORTHOPEDIC,134,,,,,,,,,,,,,,,,,,,
1922083039,"FRACHTMAN, ROBERT L",SN GASTROENTEROLOGY,130,,,,,,,,,,,,,,,,,,,
1740325133,"PRISACARU, GENOVEVA NICOLETA",SN GYNECOLOGY,127,,,,,,,,,,,,,,,,,,,
1699762427,"ABIKHALED, SHANNON MARGARET",SN GYNECOLOGY,121,,,,,,,,,,,,,,,,,,,
1578542320,"BRADY, BRIDGET MARIE",SN GENERAL SURGERY,120,,,,,,,,,,,,,,,,,,,
1245677582,"HIGH, RACHEL ALICE",SN GYNECOLOGY,117,,,,,,,,,,,,,,,,,,,
1528266863,"AMIS, BENJAMIN",SN ORTHOPEDIC,116,,,,,,,,,,,,,,,,,,,
1750591616,"DUDDEMPUDI, ANUPAMA T",SN GASTROENTEROLOGY,116,,,,,,,,,,,,,,,,,,,
1639172281,"SINGH, HERB",SN UROLOGY,116,,,,,,,,,,,,,,,,,,,
1568450948,"KEMPER, JAMES VARDAMAN",SN OTOLARYNGOLOGY,112,,,,,,,,,,,,,,,,,,,
1245466457,"MOORE, GRAYSON ARMSTRONG",SN ORTHOPEDIC,111,,,,,,,,,,,,,,,,,,,
1730475534,"CHEHL, NAVDEEP SINGH",SN GASTROENTEROLOGY,108,,,,,,,,,,,,,,,,,,,
1588987432,"KALAMARIDES, JEREMY ANDREW",SN GYNECOLOGY,103,,,,,,,,,,,,,,,,,,,
1679629349,"SAWYER, DREW SCOTT",SN OTOLARYNGOLOGY,103,,,,,,,,,,,,,,,,,,,
1538368618,"YOUNG, LINDSAY ERIN",SN OTOLARYNGOLOGY,102,,,,,,,,,,,,,,,,,,,
1962474643,"DOONER, JAMES",SN OPHTHALMOLOGY,100,,,,,,,,,,,,,,,,,,,
1851547384,"HOVERMAN, CLAIRE E",SN GYNECOLOGY,100,,,,,,,,,,,,,,,,,,,
1093738791,"SABRA, JOHN",SN GENERAL SURGERY,100,,,,,,,,,,,,,,,,,,,
1821290446,"PADALECKI, JEFFREY RYAN",SN ORTHOPEDIC,97,,,,,,,,,,,,,,,,,,,
