NPI,Surgeon,Surgeon Specialty,Surgeon Case Volume,Practice Name,Address,Suite,City,State,Zip,Practice Name,Address,Suite,City,State,Zip,Practice Address 1,Practice Address 2,Practice City,Practice State,Practice Zip Code,Practice Phone Number,Practice Fax Number
1760461552,"FULLER, ROB ALAN",SN GENERAL SURGERY,521,,,,,,,,,,,,,,,,,,,
1184653321,"VICTOR, BRANT EDWARD",SN GENERAL SURGERY,501,,,,,,,,,,,,,,,,,,,
1457779928,"MICHEL, DAVID",SN ORTHOPEDIC,472,,,,,,,,,,,,,,,,,,,
1992952659,"KING, HEATHER MERCEIR",SN GENERAL SURGERY,457,,,,,,,,,,,,,,,,,,,
1740414267,"GLOVER, MARK",SN GENERAL SURGERY,430,,,,,,,,,,,,,,,,,,,
1265494827,"ANTONINI, TOMAS G",SN UROLOGY,425,,,,,,,,,,,,,,,,,,,
1245430289,"STOCKTON, KRISTOPHER GEORGE",SN ORTHOPEDIC,416,,,,,,,,,,,,,,,,,,,
1639108731,"ABIKHALED, JOHN ANDREW",SN GENERAL SURGERY,410,,,,,,,,,,,,,,,,,,,
1164642237,"WHITE, AMANDA BONE",SN GYNECOLOGY,408,,,,,,,,,,,,,,,,,,,
1316050990,"TRAN, VIET N.",SN ORTHOPEDIC,403,,,,,,,,,,,,,,,,,,,
1942460738,"NEELY, ROBERT CHAMBERLAIN",SN CARDIOTHORACIC,371,,,,,,,,,,,,,,,,,,,
1477744654,"GALLAGHER, SEAN MICHAEL",SN ORTHOPEDIC,361,,,,,,,,,,,,,,,,,,,
1689645194,"CLINE, ROBERT W",SN GENERAL SURGERY,356,,,,,,,,,,,,,,,,,,,
1003848789,"LINDSEY, MARK RAYMOND",SN GENERAL SURGERY,354,,,,,,,,,,,,,,,,,,,
1013925585,"KESSLER, WILLIAM F",SN CARDIOTHORACIC,349,,,,,,,,,,,,,,,,,,,
1760685366,"FOX, JOSHUA C.",SN ORTHOPEDIC,344,,,,,,,,,,,,,,,,,,,
1386651206,"CHURCH, PHILLIP",SN CARDIOVASCULAR,326,,,,,,,,,,,,,,,,,,,
1255575817,"WHITED, CHAD WAYNE",SN OTOLARYNGOLOGY,323,,,,,,,,,,,,,,,,,,,
1932188711,"FASS, STEVEN M",SN GENERAL SURGERY,312,,,,,,,,,,,,,,,,,,,
1497721005,"SEIDEL, SCOTT ANDREW",SN CARDIOVASCULAR,301,,,,,,,,,,,,,,,,,,,
1487896494,"MEDBERY, RACHEL LAURA",SN CARDIOTHORACIC,293,,,,,,,,,,,,,,,,,,,
